dit,cbo,lcom,ce,lcom3,loc,moa,ic,cbm,max_cc,buggy
1,3,0,1,2,1,0,0,0,1,FALSE
1,3,0,1,2,1,0,0,0,1,FALSE
1,3,0,1,2,1,0,0,0,1,FALSE
1,9.186051,55,2.336909,2,11,0,0,0,1,TRUE
1,1,24,0,0.9,50,0,0,0,1,FALSE
2,9,3,7,2,67,0,0,0,3,FALSE
1,1.416251,0.848432,0.991228,2,9.145829,0,0,0,0.139564,TRUE
1,10.334957,55,3.430236,2,11,0,0,0,1,TRUE
2,9,28,9,2,65,0,0,0,1,FALSE
2,9,28,9,2,65,0,0,0,1,FALSE
2,15.331629,0.75816,15.771928,0.823607,269.297767,1,1,2.047534,6.350039,TRUE
1,2,0,0,2,1,0,0,0,1,FALSE
1,2,0,0,2,1,0,0,0,1,FALSE
1,2,0,0,2,1,0,0,0,1,FALSE
2,3,6,3,2,22,0,0,0,1,FALSE
2,3,6,3,2,22,0,0,0,1,FALSE
2,3,6,3,2,22,0,0,0,1,FALSE
1,9.28968,55,2.546625,2,11,0,0,0,1,TRUE
1,2.947009,13.643431,0.729251,0.795912,78.574165,0.399113,0.669041,0.58819,2.228996,TRUE
2,7,3,6,2,46,0,0,0,1,FALSE
1,6,17,0,0.822222,128,0,1,1,5,FALSE
1,6,17,0,0.822222,128,0,1,1,5,FALSE
2,8,3,7,2,63,0,0,0,2,FALSE
1,2,0,0,0.5,45,0,0,0,3,FALSE
1,2,0,0,0.5,45,0,0,0,3,FALSE
1,8,61,1,0.788462,154,1,1,1,7,FALSE
1,8,61,1,0.788462,154,1,1,1,7,TRUE
1,2,4,0,0.75,31,0,0,0,1,FALSE
1,2,4,0,0.75,31,0,0,0,1,FALSE
1,4,11,0,0.777778,39,0,0,0,1,FALSE
2,5.112821,1.991882,5.92443,1.556461,56.027431,0.051448,0.722063,0.659085,1,TRUE
1,2.33166,2.959821,0.512354,2,7.051731,0,0,0,0.963012,TRUE
1,8,0,7,1,168,1,0,0,3,FALSE
1,8,0,7,1,168,1,0,0,3,FALSE
1,8,0,7,1,168,1,0,0,3,FALSE
1,2,24,0,0.84375,49,0,0,0,1,FALSE
1,1,1,1,2,9,0,0,0,1,FALSE
1,1,1,1,2,9,0,0,0,1,FALSE
1,1,1,1,2,9,0,0,0,1,FALSE
1,9,14,1,0.857143,46,1,0,0,1,FALSE
1,9,14,1,0.857143,46,1,0,0,1,FALSE
1,9,14,1,0.857143,46,1,0,0,1,FALSE
1,5,10,1,0.619048,56,0,0,0,1,FALSE
1.565284,3.200102,3.18571,0.971101,2,29.937994,0,0,0,0.115419,TRUE
2,7,3,6,2,48,0,0,0,1,FALSE
2,8,3,7,2,52,0,0,0,2,FALSE
2,8,3,7,2,52,0,0,0,2,FALSE
2,8,3,7,2,54,0,0,0,2,FALSE
2,8,3,7,2,55,0,0,0,2,FALSE
2,8,3,7,2,55,0,0,0,2,FALSE
2,8,3,7,2,55,0,0,0,2,FALSE
1,1,3,0,2,3,0,0,0,1,FALSE
1,1,3,0,2,3,0,0,0,1,FALSE
1,1,3,0,2,3,0,0,0,1,FALSE
1,4,0,0,0.833333,22,0,0,0,1,FALSE
1,4,0,0,0.833333,22,0,0,0,1,FALSE
1,4,0,0,0.833333,22,0,0,0,1,FALSE
1,0.380625,1.865133,0.145907,2,18.407526,0,0,0,0.483253,TRUE
1,0,0,0,1,23,0,0,0,1,FALSE
1,0,0,0,1,23,0,0,0,1,FALSE
1,0,0,0,1,23,0,0,0,1,FALSE
1.485048,4.635047,1.147745,4.706802,2,35.111847,0,0,0,0.506511,TRUE
1,3,6,0,2,17,0,0,0,1,FALSE
1,3,6,0,2,17,0,0,0,1,FALSE
1,3,6,0,2,17,0,0,0,1,FALSE
2,9,15,9,2,60,0,0,0,1,FALSE
1,11,4,7,0.666667,111,0,0,0,3,FALSE
1,11,4,7,0.666667,111,0,0,0,3,FALSE
2,5,6,5,2,38,0,0,0,1,FALSE
2,5,6,5,2,38,0,0,0,1,FALSE
2,5,6,5,2,38,0,0,0,1,FALSE
1,3,1,1,2,32,0,0,0,2,FALSE
1,6,0,5,0.666667,68,1,0,0,3,FALSE
2,7,21,7,2,73,0,0,0,2,FALSE
2,7,21,7,2,73,0,0,0,2,FALSE
2,7,21,7,2,73,0,0,0,2,FALSE
1,7,17,0,0.814286,150,0,0,0,3,FALSE
1,7,17,0,0.814286,150,0,0,0,3,FALSE
1,7,17,0,0.814286,150,0,0,0,3,FALSE
2,4,1,4,2,11,0,0,0,1,FALSE
2,4,1,4,2,11,0,0,0,1,FALSE
2,4,1,4,2,11,0,0,0,1,FALSE
1,2,3,0,0.8,35,0,0,0,1,FALSE
1,2,3,0,0.8,35,0,0,0,1,FALSE
1,2,3,0,0.8,35,0,0,0,1,FALSE
2,7,6,7,2,29,0,0,0,1,FALSE
1,7,10,0,0.8,75,0,0,0,2,TRUE
1,7,10,0,0.8,75,0,0,0,2,FALSE
1,7,10,0,0.8,75,0,0,0,2,FALSE
2,4.326893,3.832805,4.857832,1.980373,37.560334,0,0.549251,0.394109,1,TRUE
1,4,10,1,2,5,0,0,0,1,FALSE
1,4,10,1,2,5,0,0,0,1,FALSE
1,4,10,1,2,5,0,0,0,1,FALSE
2,4,1,4,2,30,0,0,0,2,FALSE
2,4,1,4,2,30,0,0,0,2,FALSE
2,4,1,4,2,30,0,0,0,2,FALSE
2,7,15,7,2,46,0,0,0,1,FALSE
2,7,15,7,2,46,0,0,0,1,FALSE
2,7,15,7,2,46,0,0,0,1,FALSE
1,2,1,0,2,2,0,0,0,1,FALSE
1,2,1,0,2,2,0,0,0,1,FALSE
1,2,1,0,2,2,0,0,0,1,FALSE
1,2.910418,1.946548,0.79705,2,11.591574,0,0,0,0.378913,TRUE
1,3,3,2,2,3,0,0,0,1,FALSE
1,3,3,2,2,3,0,0,0,1,FALSE
1,3,3,2,2,3,0,0,0,1,FALSE
1,9,10,1,2,5,0,0,0,1,FALSE
1,8,21,2,2,7,0,0,0,1,FALSE
1,8,21,2,2,7,0,0,0,1,FALSE
1,5,3,1,2,3,0,0,0,1,FALSE
1,5,3,1,2,3,0,0,0,1,FALSE
1,8,10,5,2,5,0,0,0,1,FALSE
1,8,10,5,2,5,0,0,0,1,FALSE
1,8,10,5,2,5,0,0,0,1,FALSE
1,6,1,2,2,2,0,0,0,1,FALSE
1,8,28,2,2,8,0,0,0,1,FALSE
2,6,6,6,2,28,0,0,0,1,TRUE
2,6,6,6,2,28,0,0,0,1,TRUE
2,6,6,6,2,28,0,0,0,1,TRUE
1,4,3,2,2,3,0,0,0,1,FALSE
1,5,1,2,2,2,0,0,0,1,FALSE
1,5,1,2,2,2,0,0,0,1,FALSE
1,5,6,0,2,4,0,0,0,1,FALSE
1,5,6,0,2,4,0,0,0,1,FALSE
1,5,6,0,2,4,0,0,0,1,FALSE
1,10,28,2,2,8,0,0,0,1,FALSE
1,4,15,2,2,84,0,0,0,1,FALSE
1,4,15,2,2,84,0,0,0,1,FALSE
1,6,15,2,2,6,0,0,0,1,FALSE
1,6,15,2,2,6,0,0,0,1,FALSE
1,6,15,2,2,6,0,0,0,1,FALSE
2,5.877537,1.272326,4.562948,2,36.705324,0,0.277434,0.329687,1,TRUE
1,5,1,1,2,2,0,0,0,1,FALSE
1,8,10,1,2,5,0,0,0,1,FALSE
1,8,10,1,2,5,0,0,0,1,FALSE
1,3,3,1,2,3,0,0,0,1,TRUE
1,3,3,1,2,3,0,0,0,1,TRUE
1,3,3,1,2,3,0,0,0,1,TRUE
1,6,21,2,2,7,0,0,0,1,FALSE
1,3,1,1,2,2,0,0,0,1,FALSE
1,3,1,1,2,2,0,0,0,1,FALSE
1,3,1,1,2,2,0,0,0,1,FALSE
1,7,15,2,2,6,0,0,0,1,FALSE
2,6,3,6,2,21,0,0,0,1,FALSE
1,6,28,1,2,8,0,0,0,1,FALSE
1,6,28,1,2,8,0,0,0,1,FALSE
1,6,28,1,2,8,0,0,0,1,FALSE
1,9,15,2,2,6,0,0,0,1,FALSE
1,9,15,2,2,6,0,0,0,1,FALSE
1,9,15,2,2,6,0,0,0,1,FALSE
1,7,21,2,2,7,0,0,0,1,FALSE
2,6,6,6,2,27,0,0,0,1,FALSE
1,7,10,2,2,5,0,0,0,1,FALSE
1,8,28,2,2,8,0,0,0,1,FALSE
1,9,15,3,2,6,0,0,0,1,FALSE
1,9,15,3,2,6,0,0,0,1,FALSE
1,7,15,2,2,6,0,0,0,1,FALSE
1,7,15,2,2,6,0,0,0,1,FALSE
1,7,28,2,2,8,0,0,0,1,FALSE
1,6,6,1,2,4,0,0,0,1,FALSE
1,6,6,1,2,4,0,0,0,1,FALSE
1,6,6,1,2,4,0,0,0,1,FALSE
1,4,3,1,2,3,0,0,0,1,FALSE
1,5,21,2,2,7,0,0,0,1,FALSE
1,6,21,2,2,7,0,0,0,1,FALSE
1,6,21,2,2,7,0,0,0,1,FALSE
1,5,21,2,2,7,0,0,0,1,FALSE
1,5,21,2,2,7,0,0,0,1,FALSE
1,5,21,2,2,7,0,0,0,1,FALSE
